word,tf/idf
яндекс,2.303
очеред,2.303
работник,2.303
кто,2.303
увол,2.303
зловещ,2.151
увольнен,2.151
благодарн,2.151
избежа,2.151
кстат,2.151
рабоч,2.151
увольня,2.151
ит,2.151
отдел,2.151
личн,2.151
вещ,2.151
пробел,1.983
карт,1.919
менеджер,1.919
поч,1.842
минут,1.842
слайд,1.842
голос,1.842
противогаз,1.791
налич,1.727
например,1.727
заказ,1.727
ед,1.727
утр,1.727
вандерцандн,1.727
бывш,1.727
сервис,1.663
теря,1.651
никт,1.651
опозна,1.651
автор,1.651
менеджмент,1.651
труслив,1.651
звуча,1.651
очен,1.651
попыта,1.651
нападк,1.651
записк,1.651
виде,1.651
посчита,1.651
гума,1.651
вот,1.651
комментар,1.651
быва,1.651
комфортн,1.651
перспектив,1.651
обща,1.651
жив,1.651
оратор,1.651
дополнительн,1.651
оплат,1.651
пособ,1.651
трехмесячн,1.651
медицинск,1.651
страхован,1.651
том,1.651
прежн,1.651
звонок,1.651
записа,1.651
заран,1.651
прослуша,1.651
реч,1.651
макбук,1.651
внезапн,1.651
потемнет,1.651
перезапуск,1.651
удивительн,1.651
днем,1.651
детск,1.651
иллюстрац,1.651
поруч,1.651
закр,1.651
нажат,1.651
кнопк,1.651
завер,1.651
выход,1.651
смен,1.651
понима,1.651
перезагружа,1.651
тщетн,1.651
пыта,1.651
вовс,1.651
неведен,1.651
заметк,1.651
заявлен,1.651
обраща,1.651
напрям,1.651
продолжен,1.651
разговор,1.651
немног,1.651
столкнут,1.651
дел,1.651
обменива,1.651
стандартн,1.651
босс,1.651
коробк,1.651
этикетк,1.651
доставк,1.651
ноутбук,1.651
зарядн,1.651
бейдж,1.651
предмет,1.651
разъясн,1.651
экс,1.651
возврат,1.651
подразделен,1.651
сокращен,1.651
женщин,1.651
ин,1.651
национальн,1.651
наскольк,1.651
оста,1.651
мо,1.651
мужчин,1.651
бел,1.651
сотрудниц,1.651
блог,1.651
конкурент,1.651
свернут,1.651
обслуживан,1.651
рынок,1.651
кром,1.651
последова,1.651
пример,1.651
публичн,1.651
анонс,1.651
нем,1.651
говор,1.651
чащ,1.651
дезинфицирова,1.651
соответствова,1.651
добровольн,1.651
обязательн,1.651
установлен,1.651
продолж,1.651
тесн,1.651
диалог,1.651
должностн,1.651
предоставля,1.651
снов,1.651
парк,1.651
чист,1.651
перевозк,1.651
электросамокат,1.612
зат,1.612
приостанов,1.612
войт,1.612
ли,1.612
пот,1.612
тож,1.612
бизнес,1.612
рол,1.612
повлия,1.612
двойн,1.535
час,1.535
шифрован,1.535
супермаркет,1.535
магазин,1.535
вебинар,1.535
топ,1.535
мероприят,1.535
алгоритм,1.471
студент,1.471
нас,1.471
лун,1.471
текст,1.407
фальк,1.407
экзам,1.407
приказ,1.407
оборон,1.407
телескоп,1.407
солнечн,1.407
физик,1.407
высот,1.407
процесс,1.407
ключ,1.407
модел,1.398
приглас,1.382
онлайн,1.382
стартап,1.382
аренд,1.382
назад,1.382
статус,1.382
единорог,1.382
деятельн,1.382
буквальн,1.382
привлеч,1.382
реш,1.382
потеря,1.382
итак,1.382
приветствова,1.382
тишин,1.382
звук,1.382
ничт,1.382
слыша,1.382
спрос,1.382
немн,1.382
нервнича,1.382
обычн,1.382
оговор,1.382
послед,1.382
смотрет,1.382
сер,1.382
фон,1.382
цвет,1.382
бренд,1.382
ожидан,1.382
выйт,1.382
дожда,1.382
ждат,1.382
роботизирова,1.382
аудиосообщен,1.382
женск,1.382
признан,1.382
неоптимальн,1.382
донест,1.382
прозвуча,1.382
послан,1.382
оказа,1.382
огромн,1.382
влиян,1.382
вынуд,1.382
руководя,1.382
совет,1.382
чрезвычайн,1.382
трудн,1.382
устранен,1.382
ряд,1.382
ваш,1.382
запланирова,1.382
полчас,1.382
заня,1.382
всег,1.382
похож,1.382
эпизод,1.382
черн,1.382
зерка,1.382
валют,1.345
зараз,1.343
писа,1.343
машинк,1.343
включа,1.343
педагог,1.343
пос,1.343
фильм,1.343
радиотелескоп,1.343
кратер,1.343
концепц,1.343
километр,1.343
сверхточн,1.343
атомн,1.343
эксперимент,1.343
несанкционирова,1.343
видеоконференц,1.343
конференц,1.343
автоматическ,1.343
оцен,1.343
поход,1.343
соблюда,1.343
дистанц,1.343
сто,1.343
загруз,1.343
касс,1.343
продуктов,1.343
азбук,1.343
вкус,1.343
перекресток,1.343
филиа,1.343
альф,1.343
актуальн,1.343
получа,1.343
партнер,1.343
фиксирова,1.343
датчик,1.343
вход,1.343
усредня,1.343
преобразова,1.343
вариант,1.343
веб,1.343
верс,1.343
пресс,1.343
ожида,1.343
мобильн,1.343
предлага,1.343
заполн,1.343
форм,1.343
дан,1.343
значительн,1.343
перечен,1.343
опц,1.343
минимизирова,1.343
скоплен,1.343
туд,1.343
аптек,1.343
значим,1.343
вдобавок,1.343
выделя,1.343
иконк,1.343
раздел,1.343
публикова,1.343
индекс,1.343
населен,1.343
уровен,1.343
шкал,1.343
нул,1.343
минимальн,1.343
внедр,1.343
лавк,1.343
такс,1.343
нжны,1.343
скачива,1.343
открыва,1.343
занима,1.343
памя,1.343
образ,1.343
приближа,1.343
суперапп,1.343
суперприложен,1.343
объединя,1.343
представ,1.343
сфер,1.343
ритейл,1.343
бытов,1.343
оповещен,1.343
проведен,1.343
обновлен,1.343
увер,1.343
пообща,1.343
основател,1.343
трэвис,1.343
отмен,1.343
глав,1.343
подел,1.343
повод,1.343
подозрен,1.343
вызва,1.343
момент,1.343
хост,1.343
скрыт,1.343
вел,1.343
переписк,1.343
хотет,1.341
карантин,1.322
обучен,1.316
инфекц,1.316
заражен,1.279
подобн,1.279
прогноз,1.279
оператор,1.279
отслеживан,1.279
диагностирова,1.279
пациент,1.279
ошибк,1.279
ала,1.279
чен,1.279
однопробелочник,1.279
став,1.279
пишущ,1.279
профил,1.279
фишингов,1.279
дьяченк,1.279
рожден,1.279
утечк,1.279
вчер,1.279
наук,1.279
валер,1.279
никола,1.279
процедур,1.279
ответствен,1.279
яв,1.279
владимир,1.279
мчс,1.279
субъект,1.279
военкомат,1.279
раздач,1.279
терешк,1.279
скафандр,1.279
иде,1.279
лаборатор,1.279
мисс,1.279
диаметр,1.279
турышев,1.279
грант,1.279
японск,1.279
теор,1.279
располож,1.279
наблюден,1.279
катор,1.279
метр,1.279
смотров,1.279
примерн,1.279
просвещен,1.279
развит,1.279
коммуникац,1.279
видеосвяз,1.279
аналогичн,1.279
кравц,1.279
образовательн,1.279
доступ,1.279
выраст,1.279
без,1.279
участ,1.279
изменен,1.279
сквозн,1.279
обм,1.279
фрагмент,1.279
мти,1.275
транзакц,1.259
цб,1.247
счет,1.247
заболеван,1.237
указыва,1.237
машин,1.234
подготовк,1.223
существ,1.223
выпуск,1.223
управля,1.223
финансов,1.223
кошелек,1.223
атипичн,1.215
пневмон,1.215
ближневосточн,1.215
респираторн,1.215
синдр,1.215
объединен,1.215
инфицирова,1.215
наход,1.215
заража,1.215
смоделирова,1.215
эффект,1.215
изолирован,1.215
плат,1.215
итал,1.215
наступ,1.215
приблизительн,1.215
чут,1.215
многообеща,1.215
означа,1.215
смягча,1.215
изоляц,1.215
слишк,1.215
ослаб,1.215
последств,1.215
катастрофическ,1.215
джордж,1.215
барбастатис,1.215
немедлен,1.215
ограничен,1.215
поездк,1.215
замедл,1.215
вирус,1.215
стабильн,1.215
понятн,1.215
серьезн,1.215
призыва,1.215
гражданин,1.215
границ,1.215
турист,1.215
ограничива,1.215
увелич,1.215
превыс,1.215
минздра,1.215
рекордн,1.215
суточн,1.215
прирост,1.215
минкомсвяз,1.215
федерац,1.215
носител,1.215
контактирова,1.215
сотов,1.215
госпитализац,1.215
постановк,1.215
соответств,1.215
смс,1.215
систематическ,1.215
правоохранительн,1.215
классическ,1.215
полезн,1.215
глубок,1.215
помога,1.215
прогресс,1.215
лечен,1.215
рентгеновск,1.215
создател,1.215
диагностик,1.215
искусствен,1.215
интеллект,1.215
определя,1.215
понадоб,1.215
аппарат,1.215
ивл,1.215
израил,1.215
технокорпорац,1.215
издан,1.215
адвокат,1.215
твиттер,1.215
побед,1.215
окончан,1.215
век,1.215
урок,1.215
машиноп,1.215
уч,1.215
столет,1.215
поступа,1.215
американец,1.215
обосновыва,1.215
печатн,1.215
моноширин,1.215
улов,1.215
заканчива,1.215
разгранич,1.215
редактор,1.215
потребн,1.215
пропаст,1.215
пропорциональн,1.215
далек,1.215
тепл,1.215
встрет,1.215
нововведен,1.215
репла,1.215
твит,1.215
уреза,1.215
символ,1.215
читаем,1.215
улучша,1.215
воспринима,1.215
пережиток,1.215
отличн,1.215
