word,tf/idf
документ,2.303
магазин,2.303
andrew,2.303
правообладател,2.303
совет,2.303
собеседник,2.303
чат,2.303
голос,2.303
задава,2.303
текст,2.303
чувств,2.303
товар,2.138
victor,2.138
ролик,2.138
голов,2.015
забыва,2.015
доставк,1.974
индекс,1.974
метод,1.974
чанк,1.974
виджет,1.934
иск,1.919
коммуникац,1.919
рабоч,1.919
воспринима,1.919
невербальн,1.919
обойт,1.919
пуст,1.919
обаян,1.919
неформальн,1.919
флудилк,1.919
ученик,1.871
шаг,1.809
заказ,1.809
авторизац,1.809
p2p,1.809
cirrus,1.809
воспроизведен,1.809
плеер,1.809
суд,1.809
сотрудничеств,1.727
кухн,1.727
глуп,1.727
избежа,1.727
сход,1.727
мантр,1.727
крут,1.727
погруз,1.727
границ,1.727
рутин,1.727
программирован,1.655
единен,1.651
мем,1.651
жаб,1.651
wednesday,1.651
my,1.651
dudes,1.651
актуальн,1.651
тита,1.651
давлен,1.651
обществен,1.651
смайлик,1.651
проявлен,1.651
высокомер,1.651
поверьт,1.651
прилета,1.651
выдав,1.651
фотк,1.651
кактус,1.651
человеческ,1.651
слабост,1.651
принюхива,1.651
осознава,1.651
чужак,1.651
тепл,1.651
времен,1.651
неплох,1.651
юмор,1.651
довер,1.651
невообразим,1.645
open,1.645
клиент,1.645
adobe,1.645
задержк,1.645
выш,1.645
одновремен,1.645
рунет,1.645
компан,1.609
учител,1.594
урок,1.594
платежн,1.594
выборк,1.583
паспорт,1.583
школ,1.583
уведомлен,1.535
следова,1.535
недавн,1.535
миров,1.535
стро,1.535
реагирова,1.535
поток,1.535
стикер,1.535
сигна,1.535
инач,1.535
вообщ,1.535
сидет,1.535
стыдн,1.535
бок,1.535
слыша,1.535
тон,1.535
громкост,1.535
манер,1.535
поз,1.535
влия,1.535
вспомн,1.535
убежден,1.535
нельз,1.535
компромиссн,1.535
вот,1.535
рев,1.535
разговор,1.535
мотивац,1.535
конфликтн,1.535
стаж,1.535
осознан,1.535
одинаков,1.535
рьян,1.535
отрица,1.535
ступен,1.535
планирован,1.535
подведен,1.535
худ,1.535
конец,1.535
эмоц,1.535
оперирова,1.535
выл,1.535
структурирова,1.535
прогресс,1.535
todo,1.535
tobedone,1.535
